id,year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,bounding_box,created_at,hierarchy_level,parent_entity
cbce4376-b91b-4a9f-9f14-e01419aaf760,2024,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Proportion,57939,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
ce447f3d-28e4-40cc-8df4-cf93f55fb343,2024,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Experience,101872,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
cf380502-c655-477b-9436-87b289ac03ed,2024,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),1069994,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
d8ba6b6b-0ef8-4c61-9307-5e3d2a384bea,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Experience,377017,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
d9106bbd-739e-4d68-9791-9c7703516fae,2024,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),325,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.133824+00,4,Governmental Activities
dab886db-daf9-400a-80ae-15863909447c,2024,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,Total Deferred Inflows of Resources,3981790,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,School Department
dc6debcd-2e17-42c2-bb53-992620f1e3ee,2024,A,Net Assets,Primary Government > Business-type Activities,Unrestricted,2706766,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,16,,2026-01-20 04:13:45.51153+00,4,Business-type Activities
dcc47530-be88-43a4-95e6-0ec2afd85982,2024,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Changes in Assumptions,43390,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
dde2d412-9762-4e1d-a626-aa5c21d02612,2024,A,Deferred Outflows of Resources,Primary Government > Governmental Activities,Pension Contributions After Measurement Date,53715,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,Governmental Activities
e3c98ddf-ba27-40ef-9809-7294df4fa59f,2024,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Proportion,9655,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,15,,2026-01-20 04:13:45.51153+00,4,School Department
