year,exhibit_id,category,hierarchy_path,label,amount,file_name,storage_url,pdf_page,hierarchy_level,parent_entity
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),938083,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,Pension Changes in Investment Earnings,0,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),970000,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: Public Safety,103653,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Deferred Inflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Experience,41500,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Deferred Outflows of Resources,Component Units > Metropolitan School Department,OPEB Changes in Proportion,77562,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Primary Government > Business-type Activities,Total Liabilities (Subtotal),118255,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Business-type Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),37098,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Assets,Primary Government > Governmental Activities,Total Assets (Subtotal),4336257,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Governmental Activities
2025,A,Assets,Primary Government > Business-type Activities,Total Assets (Subtotal),520,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,Business-type Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),3312,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Net Assets,Primary Government > Governmental Activities,Restricted for: General Government,150564,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),18317,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
2025,A,Liabilities,Component Units > Metropolitan School Department,Total Liabilities (Subtotal),20785,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Net Assets,Component Units > Metropolitan School Department,Net Investment in Capital Assets,23777093,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,School Department
2025,A,Liabilities,Primary Government > Governmental Activities,Total Liabilities (Subtotal),82254,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,16,4,Governmental Activities
2025,A,Assets,Component Units > Metropolitan School Department,Total Assets (Subtotal),50671,2025 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2025%20Moore%20County%20Financial%20Report.pdf,15,4,School Department
