line_id,doc_id,doc_display_order,year,exhibit_id,category_raw,hierarchy_path,label,amount,file_name,storage_url,pdf_page,section,row_kind,entity
5f324d06-02c2-42c6-a393-1271a5a4c197,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Hotel/Motel Tax,Governmental Activities,58733,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
61f5e419-24ba-4fc7-8040-bc16d8b15570,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,Public Safety,139794,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
62bbd4cc-3e47-4358-bb4f-2d0c022b1b3c,B_2024,,2024,B,Program Revenues,Program Revenues > Capital Grants and Contributions,Total Governmental Activities,1878685,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,subtotal,governmental_activities
7171bac6-0903-4ff6-9a04-673440d86143,B_2024,,2024,B,Program Revenues,Program Revenues > Capital Grants and Contributions,Total Primary Government,2677083,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,total,total_primary_government
75b084e7-4418-401a-98ab-3604c9a568f5,B_2024,,2024,B,General Revenues,General Revenues > Total General Revenues,Governmental Activities,6793164,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,total,governmental_activities
76a2fbee-2fcf-443e-ac39-8ef1e74f338a,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Litigation Tax - General,Governmental Activities,13250,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
7746a2f8-3326-46f6-ac5a-e3ee1399ccd7,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Business Tax,Total Primary Government,47695,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
82565a63-5c0c-4f44-9707-1d7197b82e9d,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Local Option Sales Tax,Governmental Activities,879486,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
8b65f855-32a1-4795-8f7d-31d0eabc9e15,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,General Government,137572,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
8d878f47-4804-47fe-9a22-92ab888fe399,B_2024,,2024,B,Program Revenues,Program Revenues > Capital Grants and Contributions,Highways,1878685,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
8fe76d43-143f-4505-a5be-87e3d13973f8,B_2024,,2024,B,Program Revenues,Program Revenues > Operating Grants and Contributions,Administration of Justice,9000,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
913990a6-8b68-4ef8-9e6b-1064534c3259,B_2024,,2024,B,General Revenues,General Revenues > Grants and Contributions Not Restricted to Specific Programs,Governmental Activities,776338,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
9684cfbc-7ba2-4221-8f4e-7e1aa4ef3aa2,B_2024,,2024,B,General Revenues,General Revenues > Unrestricted Investment Income,Total Primary Government,247092,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
98c7daf4-c302-45c4-aa30-3f6356e5fcfb,B_2024,,2024,B,Program Revenues,Program Revenues > Charges for Services,Administration of Justice,69440,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,17,program_revenues,line_item,governmental_activities
a16ee695-8a5a-4cf3-bbf5-ed9e05790f5a,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Property Taxes Levied for General Purposes,Governmental Activities,3645158,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,governmental_activities
a1dc6d64-fc4c-43ee-89cc-da5fd13b3ed2,B_2024,,2024,B,General Revenues,General Revenues > Taxes > Wholesale Beer Tax,Total Primary Government,96856,2024 Moore County Financial Report.pdf,https://hovdckksdjofgghaxtif.supabase.co/storage/v1/object/public/AFR_reports/originals/2024%20Moore%20County%20Financial%20Report.pdf,18,general_revenues,line_item,total_primary_government
